Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022]
Kenya,KEN,"Population, total",SP.POP.TOTL,52217334,53219166,54252461
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1927.6645902784887,2061.3562208959406,2109.562885131375
Kenya,KEN,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,22851997890.480465,23561137205.783695,24075706860.610996
Kenya,KEN,Government Effectiveness: Percentile Rank,GE.PER.RNK,38.0952377319336,38.5714302062988,38.6792449951172
Kenya,KEN,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,17514695524.072254,18816849638.473507,20059985243.071266
Kenya,KEN,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,6034000000,6739000000,7411000000
Kenya,KEN,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,15435000000,19559000000,21166000000
Kenya,KEN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.10843419595019,1.07720025210221,1.01020520038813
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,42838020721.19954,56614976854.549866,89013255584.74992
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28444077,28237826,28213017
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1506.0436210041037,2004.9339794979212,3155.0420709968707
"Venezuela, RB",VEN,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,..,..,..
"Venezuela, RB",VEN,Government Effectiveness: Percentile Rank,GE.PER.RNK,1.90476191043854,1.90476191043854,4.71698093414307
"Venezuela, RB",VEN,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,..,..,..
"Venezuela, RB",VEN,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,5010000000,3535000000,4750000000
"Venezuela, RB",VEN,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,6590000000,7695000000,10140000000
"Venezuela, RB",VEN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.57552271230291,0.313630729266034,0.649886788939365
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1744070276373.339,1942313560965.9043,1799363116866.521
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51836239,51769539,51672569
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,33645.77195450733,37518.46353056967,34822.40484049711
"Korea, Rep.",KOR,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,27520580533.63912,32342624255.90171,26061006513.093586
"Korea, Rep.",KOR,Government Effectiveness: Percentile Rank,GE.PER.RNK,89.0476226806641,90,90.0943374633789
"Korea, Rep.",KOR,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,581757770156.519,643927536451.0581,584995586194.0367
"Korea, Rep.",KOR,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,512498000000,644400000000,683585000000
"Korea, Rep.",KOR,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,467633000000,615093000000,731370000000
"Korea, Rep.",KOR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.64297706902012,2.61904941244001,2.57642560395009
