latitude,longitude,side_b
17.700000,97.700000,KNU
15.301667,98.401944,KNU
17.700000,97.700000,KNU
16.541082,98.529827,KNU
15.301667,98.401944,KNU
17.500000,97.750000,KNU
15.301667,98.401944,KNU
15.301667,98.401944,KNU
17.700000,97.700000,KNU
22.000000,98.000000,KNU
17.500000,97.750000,KNU
22.000000,98.000000,KNU
22.000000,98.000000,KNU
17.500000,97.750000,KNU
17.280924,97.327985,KNU
18.250000,96.250000,KNU
18.250000,96.250000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
22.000000,98.000000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.358333,97.679167,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
16.554022,98.238231,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
22.000000,98.000000,KNU
20.922044,92.360793,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
22.000000,98.000000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.700000,97.700000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
22.000000,98.000000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.700000,97.700000,KNU
17.500000,97.750000,KNU
22.000000,98.000000,KNU
17.700000,97.700000,KNU
18.064000,97.445000,KNU
18.327769,96.772247,KNU
16.664698,98.510324,KNU
18.068215,97.376831,KNU
16.368240,98.558498,KNU
17.500000,97.750000,KNU
18.064000,97.445000,KNU
17.133333,97.833333,KNU
18.625898,97.054666,KNU
17.392074,97.719045,KNU
18.068215,97.376831,KNU
18.064000,97.445000,KNU
18.068215,97.376831,KNU
18.068215,97.376831,KNU
17.762026,97.741880,KNU
18.064000,97.445000,KNU
18.064000,97.445000,KNU
18.064000,97.445000,KNU
18.009695,97.020268,KNU
18.064000,97.445000,KNU
15.133405,97.826214,KNU
14.091080,98.196143,KNU
18.064000,97.445000,KNU
18.064000,97.445000,KNU
16.956195,97.312870,KNU
18.781168,97.324458,KNU
17.762026,97.741880,KNU
16.368240,98.558498,KNU
18.064000,97.445000,KNU
17.700000,97.700000,KNU
18.064000,97.445000,KNU
18.064000,97.445000,KNU
16.537659,98.148440,KNU
13.000000,98.750000,KNU
18.064000,97.445000,KNU
18.250000,96.250000,KNU
16.250000,97.750000,KNU
17.500000,97.750000,KNU
18.064000,97.445000,KNU
17.896790,97.420940,KNU
18.064000,97.445000,KNU
17.590100,97.551710,KNU
16.956195,97.312870,KNU
17.420489,96.994378,KNU
18.064000,97.445000,KNU
17.500000,97.750000,KNU
18.064000,97.445000,KNU
16.956195,97.312870,KNU
16.368240,98.558498,KNU
16.368240,98.558498,KNU
16.368240,98.558498,KNU
16.686389,98.506111,KNU
16.368240,98.558498,KNU
16.688302,98.323324,KNU
16.368240,98.558498,KNU
18.064000,97.445000,KNU
13.000000,98.750000,KNU
18.250000,96.250000,KNU
16.250000,97.750000,KNU
16.368240,98.558498,KNU
16.368240,98.558498,KNU
16.537659,98.148440,KNU
18.068215,97.376831,KNU
16.502850,98.102820,KNU
18.064000,97.445000,KNU
17.500000,97.750000,KNU
17.896790,97.420940,KNU
16.368240,98.558498,KNU
17.500000,97.750000,KNU
18.064000,97.445000,KNU
16.663323,98.505613,KNU
18.068215,97.376831,KNU
16.061380,97.991330,KNU
16.316423,98.659659,KNU
16.368240,98.558498,KNU
15.833678,98.244408,KNU
15.833678,98.244408,KNU
16.291672,98.713558,KNU
16.688302,98.323324,KNU
18.064000,97.445000,KNU
18.064000,97.445000,KNU
17.420489,96.994378,KNU
16.537659,98.148440,KNU
18.064000,97.445000,KNU
16.537659,98.148440,KNU
16.599102,98.523301,KNU
16.599102,98.523301,KNU
17.700000,97.700000,KNU
16.599102,98.523301,KNU
18.012730,97.435830,KNU
15.959860,98.066133,KNU
17.420489,96.994378,KNU
18.264036,97.510307,KNU
16.250000,97.750000,KNU
17.500000,97.750000,KNU
17.366980,97.432110,KNU
16.358980,98.649440,KNU
17.513304,96.882222,KNU
16.051810,97.910400,KNU
17.098170,97.370900,KNU
17.420489,96.994378,KNU
17.435100,96.886210,KNU
16.541082,98.529827,KNU
17.420489,96.994378,KNU
16.291672,98.713558,KNU
18.345696,96.857289,KNU
16.291672,98.713558,KNU
17.892067,96.755961,KNU
17.500000,97.750000,KNU
16.358980,98.649440,KNU
17.280924,97.327985,KNU
16.446068,98.615824,KNU
16.446068,98.615824,KNU
16.446068,98.615824,KNU
12.930110,98.700540,KNU
16.446068,98.615824,KNU
16.291672,98.713558,KNU
16.446068,98.615824,KNU
16.446068,98.615824,KNU
18.064000,97.445000,KNU
15.833678,98.244408,KNU
16.446068,98.615824,KNU
18.345696,96.857289,KNU
16.537659,98.148440,KNU
16.368240,98.558498,KNU
16.554022,98.238231,KNU
16.554022,98.238231,KNU
16.446068,98.615824,KNU
18.067470,96.840060,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
16.368240,98.558498,KNU
16.537659,98.148440,KNU
15.317710,98.388360,KNU
16.368240,98.558498,KNU
16.061380,97.991330,KNU
17.435100,96.886210,KNU
16.345090,98.655110,KNU
16.345090,98.655110,KNU
16.446068,98.615824,KNU
16.345090,98.655110,KNU
16.061380,97.991330,KNU
16.345090,98.655110,KNU
16.345090,98.655110,KNU
17.420489,96.994378,KNU
16.061380,97.991330,KNU
16.061380,97.991330,KNU
17.280924,97.327985,KNU
16.262064,98.660067,KNU
16.599102,98.523301,KNU
17.420489,96.994378,KNU
16.554022,98.238231,KNU
16.554022,98.238231,KNU
17.513304,96.882222,KNU
17.513304,96.882222,KNU
16.554022,98.238231,KNU
16.368240,98.558498,KNU
16.368240,98.558498,KNU
16.803252,97.383924,KNU
17.892067,96.755961,KNU
16.163650,97.967640,KNU
16.446068,98.615824,KNU
16.358980,98.649440,KNU
16.599102,98.523301,KNU
20.250000,95.250000,KNU
15.600780,98.487510,KNU
16.190940,97.896190,KNU
16.368240,98.558498,KNU
16.446068,98.615824,KNU
14.244719,98.203056,KNU
11.031243,99.121255,KNU
11.031243,99.121255,KNU
17.942742,97.702667,KNU
18.583330,97.233330,KNU
17.205240,97.252980,KNU
16.956195,97.312870,KNU
16.537659,98.148440,KNU
16.552130,98.267140,KNU
16.552130,98.267140,KNU
16.552130,98.267140,KNU
16.552130,98.267140,KNU
16.552130,98.267140,KNU
16.537659,98.148440,KNU
16.552130,98.267140,KNU
16.061380,97.991330,KNU
16.039440,98.118960,KNU
18.583330,97.233330,KNU
18.583330,97.233330,KNU
18.064000,97.445000,KNU
16.061380,97.991330,KNU
16.061380,97.991330,KNU
12.977770,98.630330,KNU
16.061380,97.991330,KNU
19.020658,96.588492,KNU
16.537659,98.148440,KNU
18.064000,97.445000,KNU
17.345833,96.993879,KNU
17.006670,97.435360,KNU
16.061380,97.991330,KNU
18.068215,97.376831,KNU
13.115300,98.685360,KNU
16.816444,97.760444,KNU
16.816444,97.760444,KNU
16.368240,98.558498,KNU
16.595104,98.042668,KNU
16.595104,98.042668,KNU
19.004680,96.221510,KNU
17.345833,96.993879,KNU
17.942742,97.702667,KNU
18.860306,96.828987,KNU
18.860306,96.828987,KNU
18.064000,97.445000,KNU
17.500000,97.750000,KNU
18.860306,96.828987,KNU
16.818952,98.533528,KNU
17.280924,97.327985,KNU
17.061740,97.303370,KNU
16.368240,98.558498,KNU
18.345696,96.857289,KNU
17.659595,97.529256,KNU
16.368240,98.558498,KNU
17.280924,97.327985,KNU
18.676620,96.596650,KNU
17.200128,97.134597,KNU
17.420489,96.994378,KNU
17.228775,97.072137,KNU
15.343650,97.932579,KNU
16.537659,98.148440,KNU
18.807718,96.488567,KNU
16.368240,98.558498,KNU
16.368240,98.558498,KNU
17.280924,97.327985,KNU
18.064000,97.445000,KNU
17.132500,97.274696,KNU
16.537659,98.148440,KNU
15.959860,98.066133,KNU
18.068215,97.376831,KNU
17.280924,97.327985,KNU
16.554022,98.238231,KNU
16.595104,98.042668,KNU
16.977620,97.434200,KNU
16.039440,98.118960,KNU
18.244185,96.684225,KNU
12.301990,99.168250,KNU
16.492330,98.234030,KNU
16.816444,97.760444,KNU
19.738100,96.207420,KNU
17.513304,96.882222,KNU
18.860306,96.828987,KNU
16.595104,98.042668,KNU
16.537659,98.148440,KNU
15.343650,97.932579,KNU
17.220019,97.200962,KNU
15.959860,98.066133,KNU
16.061380,97.991330,KNU
16.956195,97.312870,KNU
16.368240,98.558498,KNU
16.061380,97.991330,KNU
16.496470,98.158710,KNU
17.420489,96.994378,KNU
16.368240,98.558498,KNU
18.188670,96.349580,KNU
16.368240,98.558498,KNU
15.829812,97.786399,KNU
15.829812,97.786399,KNU
16.368240,98.558498,KNU
16.368240,98.558498,KNU
15.833678,98.244408,KNU
16.956195,97.312870,KNU
16.816444,97.760444,KNU
18.345696,96.857289,KNU
18.345696,96.857289,KNU
18.547024,96.580338,KNU
18.345696,96.857289,KNU
18.153999,96.670002,KNU
19.738100,96.207420,KNU
18.345696,96.857289,KNU
16.368240,98.558498,KNU
16.061380,97.991330,KNU
17.435100,96.886210,KNU
18.595883,96.530203,KNU
18.345696,96.857289,KNU
18.480828,96.436658,KNU
18.480828,96.436658,KNU
16.496470,98.158710,KNU
18.547024,96.580338,KNU
17.420489,96.994378,KNU
16.537659,98.148440,KNU
18.068215,97.376831,KNU
16.956195,97.312870,KNU
16.368240,98.558498,KNU
16.686389,98.506111,KNU
18.533370,96.658382,KNU
18.064000,97.445000,KNU
