WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE,YEAR,MONTH,DAY
2023-08-26,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,0,29166.0,Political violence,2043,17.1075,95.1442,2023,8,26
2023-09-30,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,1,50876.0,Political violence,2043,17.1075,95.1442,2023,9,30
2023-12-30,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,3,4,154315.0,Political violence,2043,17.1075,95.1442,2023,12,30
2024-02-03,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,0,217243.0,Political violence,2043,17.1075,95.1442,2024,2,3
2024-06-08,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,1,15102.0,Political violence,2043,17.1075,95.1442,2024,6,8
2024-10-12,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,1,4114.0,Political violence,2043,17.1075,95.1442,2024,10,12
2024-12-14,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,2,0,7747.0,Political violence,2043,17.1075,95.1442,2024,12,14
2024-12-28,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,4,3,307130.0,Political violence,2043,17.1075,95.1442,2024,12,28
2025-01-04,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,6,3,347694.0,Political violence,2043,17.1075,95.1442,2025,1,4
2025-01-11,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,4,0,220315.0,Political violence,2043,17.1075,95.1442,2025,1,11
2025-01-18,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,4,3,255934.0,Political violence,2043,17.1075,95.1442,2025,1,18
2025-01-25,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,11,2,227749.0,Political violence,2043,17.1075,95.1442,2025,1,25
2025-02-01,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,6,6,52122.0,Political violence,2043,17.1075,95.1442,2025,2,1
2025-02-08,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,5,0,91947.0,Political violence,2043,17.1075,95.1442,2025,2,8
2025-02-15,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,5,0,52802.0,Political violence,2043,17.1075,95.1442,2025,2,15
2025-02-22,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,6,0,9571.0,Political violence,2043,17.1075,95.1442,2025,2,22
2025-03-01,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,8,0,53008.0,Political violence,2043,17.1075,95.1442,2025,3,1
2025-03-08,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,7,0,109447.0,Political violence,2043,17.1075,95.1442,2025,3,8
2025-03-15,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,18,1,333936.0,Political violence,2043,17.1075,95.1442,2025,3,15
2025-03-22,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,9,3,53162.0,Political violence,2043,17.1075,95.1442,2025,3,22
2025-03-29,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,2,7,19895.0,Political violence,2043,17.1075,95.1442,2025,3,29
2025-04-05,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,3,1845.0,Political violence,2043,17.1075,95.1442,2025,4,5
2025-04-12,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,4,3,4381.0,Political violence,2043,17.1075,95.1442,2025,4,12
2025-04-19,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,2,0,4381.0,Political violence,2043,17.1075,95.1442,2025,4,19
2025-04-26,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,3,0,5585.0,Political violence,2043,17.1075,95.1442,2025,4,26
2025-05-10,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,6,0,82785.0,Political violence,2043,17.1075,95.1442,2025,5,10
2025-05-31,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,2,0,51689.0,Political violence,2043,17.1075,95.1442,2025,5,31
2025-06-07,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,6,0,57660.0,Political violence,2043,17.1075,95.1442,2025,6,7
2025-06-14,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,5,1,12278.0,Political violence,2043,17.1075,95.1442,2025,6,14
2025-06-21,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,7,1,102490.0,Political violence,2043,17.1075,95.1442,2025,6,21
2025-06-28,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,4,0,35237.0,Political violence,2043,17.1075,95.1442,2025,6,28
2025-07-05,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,2,2,6698.0,Political violence,2043,17.1075,95.1442,2025,7,5
2025-07-12,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,3,2,23928.0,Political violence,2043,17.1075,95.1442,2025,7,12
2025-07-26,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,0,1204.0,Political violence,2043,17.1075,95.1442,2025,7,26
2025-08-02,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,4,0,7636.0,Political violence,2043,17.1075,95.1442,2025,8,2
2025-08-16,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,2,6,178611.0,Political violence,2043,17.1075,95.1442,2025,8,16
2025-09-06,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,2,29714.0,Political violence,2043,17.1075,95.1442,2025,9,6
2025-09-13,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,2,0,9292.0,Political violence,2043,17.1075,95.1442,2025,9,13
2025-09-20,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,2,0,9292.0,Political violence,2043,17.1075,95.1442,2025,9,20
2025-10-18,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,2,0,1040.0,Political violence,2043,17.1075,95.1442,2025,10,18
2025-11-15,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,3,3,213750.0,Political violence,2043,17.1075,95.1442,2025,11,15
2025-11-22,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,3,0,213750.0,Political violence,2043,17.1075,95.1442,2025,11,22
2025-12-06,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,0,,Political violence,2043,17.1075,95.1442,2025,12,6
2025-12-20,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,6,0,11663.0,Political violence,2043,17.1075,95.1442,2025,12,20
2024-12-28,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,1,0,218695.0,Political violence,2043,17.1075,95.1442,2024,12,28
2025-01-04,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,5,0,220535.0,Political violence,2043,17.1075,95.1442,2025,1,4
2025-01-11,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,4,0,224410.0,Political violence,2043,17.1075,95.1442,2025,1,11
2025-02-08,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,6,0,222665.0,Political violence,2043,17.1075,95.1442,2025,2,8
2025-03-15,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,8,0,4983.0,Political violence,2043,17.1075,95.1442,2025,3,15
2025-03-22,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,4,0,5167.0,Political violence,2043,17.1075,95.1442,2025,3,22
2025-03-29,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,2,6,2871.0,Political violence,2043,17.1075,95.1442,2025,3,29
2025-04-05,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,7,0,24937.0,Political violence,2043,17.1075,95.1442,2025,4,5
2025-04-12,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,1,0,5354.0,Political violence,2043,17.1075,95.1442,2025,4,12
2025-04-26,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,4,0,11301.0,Political violence,2043,17.1075,95.1442,2025,4,26
2025-05-03,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,8,0,7168.0,Political violence,2043,17.1075,95.1442,2025,5,3
2025-05-10,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,6,0,37685.0,Political violence,2043,17.1075,95.1442,2025,5,10
2025-05-17,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,5,5,16505.0,Political violence,2043,17.1075,95.1442,2025,5,17
2025-06-28,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,4,0,16085.0,Political violence,2043,17.1075,95.1442,2025,6,28
2025-07-19,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,5,0,9900.0,Political violence,2043,17.1075,95.1442,2025,7,19
2025-07-26,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,4,0,25469.0,Political violence,2043,17.1075,95.1442,2025,7,26
